code,teer,title
33100,1,"Dental assistants and dental laboratory assistants"
33101,1,"Medical laboratory assistants and related technical occupations"
33102,1,"Nurse aides, orderlies and patient service associates"
33103,1,"Pharmacy technical assistants and pharmacy assistants"
33109,1,"Other assisting occupations in support of health services"
40010,0,"Government managers - health and social policy development and program administration"
40011,0,"Government managers - economic analysis, policy development and program administration"
40012,0,"Government managers - education policy development and program administration"
40019,0,"Other managers in public administration"
40020,0,"Administrators - post-secondary education and vocational training"
40021,0,"School principals and administrators of elementary and secondary education"
40030,0,"Managers in social, community and correctional services"
40040,0,"Commissioned police officers and related occupations in public protection services"
40041,0,"Fire chiefs and senior firefighting officers"
40042,0,"Commissioned officers of the Canadian Armed Forces"
41100,1,"Judges"
41101,1,"Lawyers and Quebec notaries"
41200,2,"University professors and lecturers"
41201,2,"Post-secondary teaching and research assistants"
41210,2,"College and other vocational instructors"
41220,2,"Secondary school teachers"
41221,2,"Elementary school and kindergarten teachers"
41300,3,"Social workers"
41301,3,"Therapists in counselling and related specialized therapies"
41302,3,"Religious leaders"
41310,3,"Police investigators and other investigative occupations"
41311,3,"Probation and parole officers"
41320,3,"Educational counsellors"
41321,3,"Career development practitioners and career counsellors (except education)"
41400,4,"Natural and applied science policy researchers, consultants and program officers"
41401,4,"Economists and economic policy researchers and analysts"
41402,4,"Business development officers and market researchers and analysts"
41403,4,"Social policy researchers, consultants and program officers"
41404,4,"Health policy researchers, consultants and program officers"
41405,4,"Education policy researchers, consultants and program officers"
41406,4,"Recreation, sports and fitness policy researchers, consultants and program officers"
41407,4,"Program officers unique to government"
41409,4,"Other professional occupations in social science"
42100,1,"Police officers (except commissioned)"
42101,1,"Firefighters"
42102,1,"Specialized members of the Canadian Armed Forces"
42200,2,"Paralegals and related occupations"
42201,2,"Social and community service workers"
42202,2,"Early childhood educators and assistants"
42203,2,"Instructors of persons with disabilities"
42204,2,"Religion workers"
43100,1,"Elementary and secondary school teacher assistants"
43109,1,"Other instructors"
43200,2,"Sheriffs and bailiffs"
43201,2,"Correctional service officers"
43202,2,"By-law enforcement and other regulatory officers"
43203,2,"Border services, customs, and immigration officers"
43204,2,"Operations Members of the Canadian Armed Forces"
44100,1,"Home child care providers"
44101,1,"Home support workers, caregivers and related occupations"
44200,2,"Primary combat members of the Canadian Armed Forces"
45100,1,"Student monitors, crossing guards and related occupations"
50010,0,"Library, archive, museum and art gallery managers"
50011,0,"Managers - publishing, motion pictures, broadcasting and performing arts"
50012,0,"Recreation, sports and fitness program and service directors"
51100,1,"Librarians"
51101,1,"Conservators and curators"
51102,1,"Archivists"
51110,1,"Editors"
51111,1,"Authors and writers (except technical)"
51112,1,"Technical writers"
51113,1,"Journalists"
51114,1,"Translators, terminologists and interpreters"
51120,1,"Producers, directors, choreographers and related occupations"
51121,1,"Conductors, composers and arrangers"
51122,1,"Musicians and singers"
52100,1,"Library and public archive technicians"
52110,1,"Film and video camera operators"
52111,1,"Graphic arts technicians"
52112,1,"Broadcast technicians"
52113,1,"Audio and video recording technicians"
52114,1,"Announcers and other broadcasters"
52119,1,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts"
52120,1,"Graphic designers and illustrators"
52121,1,"Interior designers and interior decorators"
53100,1,"Registrars, restorers, interpreters and other occupations related to museum and art galleries"
53110,1,"Photographers"
53111,1,"Motion pictures, broadcasting, photography and performing arts assistants and operators"
53120,1,"Dancers"
53121,1,"Actors, comedians and circus performers"
